rank,registration number,title,study type,study phase,source of funding,funded (original),technology approach,application setting,application of a digital placebo,purpose of intervention,medical specialty (ICD-11),target Disease / conditions,study design,study purpose,registered,duration_month,arm,sample size,implementation site_1,implementation site_1_location,implementation site_2,implementation site_2_location,implementation site_3,implementation site_3_location,implementation site_4,implementation site_4_location,implementation site_5,implementation site_5_location,implementation site_6,implementation site_6_location,implementation site_7,implementation site_7_location,implementation site_8,implementation site_8_location,implementation site_9,implementation site_9_location,implementation site_10,implementation site_10_location,recruitment status,age_min,age_max,sex,randomization,randomization_method,masking,masking (original)
95,ChiCTR2100046307,The effects of individualized exercise prescription combined with remote exercise management on cardiovascular risk factors in overweight and obese patients,Interventional,Early Phase 1,municipal government/fund,北京康复医院科研基金（2019-007）,Guided,Non-hospital,No,Prevention,Diseases of the circulatory system,Cardiovascular disease,Parallel Assignment,探讨个体化运动处方结合远程运动管理对超重及肥胖人群心血管疾病危险因素的干预效果。  ,2019,12.13333333,2,89,首都医科大学附属北京康复医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,18,65,All,Non-Randomized,No,NP,N/A
96,ChiCTR2100046153,Analysis of the Effect of Internet Remote Management on Patients with hypertension in Inner Mongolia through telemanagement,Interventional,NP,self-fund,自筹,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Essential hypertension,Parallel Assignment,1、在内蒙古地区建立高血压信息化管理平台； 2、探讨高血压远程管理是否可以提高内蒙古地区高血压患者的治疗达标率； 3、远程管理对提高患者用药依从性有无作用； 4、远程管理是否在改善生活方式及控制可控的心血管危险因素方面更具优势。,2017,97.36666667,2,600,包头医学院第二附属医院 ,内蒙古自治区,内蒙古乌兰察布市中心医院 ,内蒙古自治区 ,内蒙古赤峰市医院 ,内蒙古自治区 ,锡林郭勒盟东乌珠穆沁旗旗医院 ,内蒙古自治区 ,锡林郭勒盟中心医院 ,内蒙古自治区 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,80,All,Non-Randomized,Non-randomization.,NP,N/A
97,ChiCTR2100045341,The validation and usability of remote health home-based fitness assessment test mobile application in adults,Interventional,Early Phase 1,industry,成都尚醫信息科技有限公司,Fully-automated,Non-hospital,No,Management,Factors influencing health status or contact with health services,Adults,Parallel Assignment,探讨远程居家健康软件(R plus health APP)在 APP 自我居家测试、APP 标准测试、 临床标准测试 3 种不同环境中测试结果的相关性，及 APP 在使用过程中的易用性。,2021,12.16666667,3,36,术康診所 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,65,All,simple randomization,Simple and convenient sampling and drawing lots were adopted to randomly assign test sequence.,NP,未说明
98,ChiCTR2100044374,Effects of online significant others participatory dignity therapy on the psychological well-being of patients with hematologic malignancies and their significant others: A randomised controlled trial.,Interventional,Early Phase 1,provincial government/fund,省级科技创新联合资金项目,Adjunctive,Non-hospital,No,Management,Neoplasms,hematologic malignancies,Parallel Assignment,在前期研究的基础上，构建出了重要他人参与式尊严疗法远程干预方案；通过临床应用，评价其对恶性血液肿瘤患者尊严水平、希望水平及生命意义的干预效果，同时评价该方案对患者重要他人焦虑、抑郁的干预效果及对双方之间亲密关系的影响。  ,2021,12.16666667,2,70,福建医科大学附属协和医院 ,福建省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,,All,simple randomization,"A random number sequence within the range 1-70 was generated by a non-member of the group using the Research Randomizer website (https://www.randomizer.org/), and these random numbers were then placed in separate sequentially coded, sealed and opaque envelopes and stored properly.","double(investigator, outcomes assessor)",本研究无法对研究对象及干预者（研究者本人）采用盲法，故在效果评价时采用盲法评价，即资料收集者不参加研究对象的干预过程，也不了解研究对象的具体分组。
99,ChiCTR2100044063,A Multi-Center Clinical Study of Long-Range Home Cardiac Rehabilitation,Interventional,NP,industry,江苏创越医疗科技有限公司,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Cardiovascular disease/Cardiac rehabilitation,Parallel Assignment,通过多中心研究，探讨远程家庭心脏康复的安全、有效、及康复价值，建立科学的家庭心脏康复的规范流程和管理模式。  ,2021,11.3,5,675,浙江医院 ,浙江省,浙江省慈溪市人民医院 ,浙江 ,宁波市鄞州区钱湖医院 ,浙江 ,金华市中心医院 ,浙江 ,杭州乐天派英智康复医院 ,浙江 ,丽水市人民医院 ,浙江 ,安徽中医药大学第二附属医院 ,安徽 ,皖北煤电集团总医院 ,安徽 ,新疆阿克苏地区第一人民医院 ,新疆维吾尔族自治区 ,宁夏回族自治区第五人民医院 ,宁夏回族自治区 ,Not yet recruiting,18,,All,simple randomization,"Ma Jing, a researcher of Zhejiang hospital, generated the random sequence through the cardiopulmonary rehabilitation management system, and the system generated the random number sequence according to the random number table method of medical statistics; the subjects corresponding to the random even number were&#",single(participant),单盲，即受试者对入组组别、实施的措施均不知情。
100,ChiCTR2100043638,"Effect of tertiary A-level hospital remote intervention on MACCE, adherence to drugs and risk factors control in patients with stable coronary artery disease compared with traditional community hospital follow-up",Interventional,Early Phase 1,national government/fund,国家重点研发计划重大慢性非传染性疾病防控研究子课题（课题编号2018YFC1315602）,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Stable coronary heart disease,Parallel Assignment,本研究旨在比较线下社区医院干预与三级甲等医院微信干预对稳定冠心病患者药物依从性和危险因素控制的影响。  ,2021,NP,2,1000,中国医学科学院阜外医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,99,All,Non-Randomized,Non randomized controlled trial,NP,未说明
101,ChiCTR2100043587,Remote CBT after deep brain stimulation for Parkinson's comorbidities depression,Interventional,Early Phase 1,hospital/university,新乡医学院第二附属医院开放课题,Adjunctive,Non-hospital,No,Treatment,Diseases of the nervous system,Parkinson's disease,Single Group Assignment,1. 评估行为认知治疗对深部脑刺激术后的帕金森病共病抑郁的有效性； 2. 探索帕金森病人深部脑刺激术后管理（治疗）新模式。,2021,36.53333333,1,15,上海交通大学附属瑞金医院 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,85,All,Non-Randomized,Non-randomized trial,NP,N/A
102,ChiCTR2100043513,Effects of telerehabilitation with different intervention time in patients after percutaneous coronary intervention,Interventional,NP,self-fund,自筹,Fully-automated,Non-hospital,No,Treatment,Diseases of the circulatory system,Coronary heart disease,Parallel Assignment,探究不同介入时机的远程康复对经皮冠脉介入术后患者安全性和疗效。  ,2021,13.06666667,3,40,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,100,All,simple randomization,The random number table is generated by the computer and the subjects are randomly arranged.,NP,未说明
103,ChiCTR2100042737,Efficacy and mechanism of online Qigong intervention in type 2 diabetic peripheral neuropathy,Interventional,Early Phase 1,municipal government/fund,北京市双一流科研经费,Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",diabetic peripheral neuropathy,Crossover Assignment,1.探讨线上气功辅助干预糖尿病周围神经病变的临床疗效。 2.探讨线上气功辅助干预糖尿病周围神经病变的可行性、安全性和可接受性。 3.探讨线上气功锻炼对糖尿病周围神经病变炎症因子、神经生长因子及血清皮质醇的分子机制。,2021,32.46666667,2,70,北京中医药大学东方医院 ,北京市,北京中医药大学东直门医院 ,北京 ,北京中医药大学第三附属医院 ,北京 ,北京医院 ,北京 ,北京大学第六医院 ,北京 ,中日友好医院 ,北京 ,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,80,All,randomized-NP,"After baseline assessment, participants satisfying the inclusion criteria will be randomly allocated to either a Qigong intervention group or a wait-list usual medical care control group using a computer-generated randomization schedule by a researcher who is independent of recruitment and assessments.",NP,未说明
104,ChiCTR2100042700,Remotely monitored Baduanjin exercise in moderate-to-severe chronic obstructive pulmonary disease patients (BROCADE),Interventional,Early Phase 1,national government/fund,国家重点研发计划（2018YFC1313600）；国家自然科学基金重点国际（地区）合作研究项目（81820108001）；国家自然科学基金项目（81670029）；江苏省医学重点人才项目（ZDRCA2016018）；江苏省333高层次人才工程第二层次培养对象（中青年领军人才）（BRA2019078）,Fully-automated,Non-hospital,No,Treatment,Diseases of the respiratory system,chronic obstructive pulmonary disease,Parallel Assignment,通过远程监控下八段锦运动对稳定期中重度慢性阻塞性肺疾病（COPD）患者的临床症状、生活质量、活动能力及耐力、肺功能、呼吸肌功能的影响。  ,2021,11.1,3,150,南京医科大学第一附属医院 ,江苏省,南京医科大学附属老年医院 ,江苏 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,40,75,All,simple randomization,"A data statistician used the software to prepare a random number table, which was used to divide subjects into control group, conventional pulmonary rehabilitation group, and Baduanjin group by the way of drawing random envelopes.",Open label,开放
105,ChiCTR2000040662,"Study on the effect of exercise bracelet and remote exercise guidance on BMI, physical fitness and physical activity level of obese adolescents",Interventional,Early Phase 1,hospital/university,山东大学专题数据库建设,Fully-automated,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Childhood obesity,Parallel Assignment,1.1 评价应用运动手环及相关APP是否能提高肥胖青少年的日常体力活动水平 1.2 将远程运动指导和常规有监督的运动干预进行比较，评价远程运动指导是否可以改善肥胖青少年的BMI、体适能及心血管疾病风险因素。 1.3 比较远程运动指导中不同运动方式对肥胖青少年作用的差异，主要是比较高强度间歇性运动和中等强度持续有氧运动。 1.4 应用定性方法结合运动参与程度比较不同干预方案在受试者中的接受程度，可推广性。,2020,12.16666667,3,150,山东大学 ,山东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,8,18,All,simple randomization,Study leader generates the random number sequence by using a random digits table,NP,Not stated
106,ChiCTR2000040467,Evaluation of the impact of telemedicine supervise intervention programs on swallowing function and swallowing-related quality of life in patients with oral cancer postoperative: a prospective controlled trial,Interventional,Early Phase 1,provincial government/fund,宁省高校基础科研项目（ LQNK201725）,Guided,Non-hospital,No,Management,Neoplasms,oral cancer,Parallel Assignment,进行一项前瞻性随机对照试验研究基于微信平台的远程医疗监督干预方案对东北地区口腔癌患者吞咽功能和吞咽相关生活质量的可行性和影响。  ,2020,12.16666667,1,40,中国医科大学附属口腔医院 ,辽宁省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,,,All,randomized-NP,by using computer-generated random numbers,NP,Not stated
107,ChiCTR2000040366,Effect of remote management on comprehensive management of diabetes mellitus during the COVID-19 epidemic,Observational,NP,self-fund,研究者承担,Guided,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",diabetes mellitus,Parallel Assignment,我们通过问卷调查了解疫情期间糖尿病患者基本情况。我们设计了随机对照研究，明确疫情期间应用手机微信平台远程管理对糖尿病患者血糖管理的影响。  ,2020,5.033333333,2,180,吉林大学第二医院 ,吉林省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,70,All,randomized-NP,The patients were numbered and randomly assigned in a 1:1 ratio to the intervention group or the control group by computer.,NP,未说明
108,ChiCTR2000040281,Remote blood pressure management clinical application research,Interventional,Early Phase 1,municipal government/fund,青岛市科技局专项资金,Guided,Non-hospital,No,Management,Diseases of the circulatory system,hypertension,Parallel Assignment,大范围普及基于“ 云享智能柜” 的远程血压管理模式。为基层医院提供一个智能、 简单、 高效的管理居民慢性病的创新工具，促进我国慢性病管理水平的提升； 采用智能终端设备， 实现数据自动采集、 传输， 确保患者血压数据真实、 及时、 连续， 为学术研究和慢性病的防治提供数据参考和依据， 促进我国慢病防治科研成果转化。  ,2020,37.46666667,3,1050,青岛大学附属心血管病医院 ,山东省,青岛大学附属医院 ,山东 ,青岛新民生医院 ,山东 ,青岛博泰医院 ,山东 ,青岛安康医院 ,山东 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,75,All,randomized-NP,Random grouping by computer system,NP,Not stated
109,ChiCTR2000039316,Research on the application of wireless remote monitoring analgesia system in the analgesic management of patients with advanced cancer pain,Interventional,Early Phase 1,self-fund,自筹经费,Guided,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Cancer pain,Parallel Assignment,本实验通过无线远程监控镇痛系统，使用智能输注泵经静脉应用氢吗啡酮或舒芬太尼，观察其对晚期癌痛患者镇痛管理的有效性和安全性进行评估。  ,2020,24.33333333,2,66,上海市同济医院 ,上海市,上海市宝山区吴淞中心医院 ,上海 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,不限,All,simple randomization,"Random numbers were generated by random number table, and then they were sorted to generate random numbers.",NP,未说明
110,ChiCTR2000038907,Study on comprehensive rehabilitation system of common bone and joint diseases in the elderlya: Evaluation of curative effect of remote rehabilitation on senile lumbar disc herniation,Interventional,Early Phase 1,national government/fund,科技部重大科技计划（2018YFC2002303）,Fully-automated,Non-hospital,No,Treatment,Diseases of the musculoskeletal system or connective tissue,Lumbar disc herniation,Parallel Assignment,探讨远程康复对腰椎间盘突出患者疼痛、功能、心理的改善效果，为临床干预提供更多可选择的方案。  ,2020,17.23333333,4,96,四川省八一康复中心（四川省康复医院） ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,60,70,All,simple randomization,Random table produced by computer,NP,未说明
111,ChiCTR2000038905,Study on comprehensive rehabilitation System of common bone and joint Diseases in the elderly: Evaluation of curative effect of remote rehabilitation on cervical spondylosis,Interventional,Early Phase 1,national government/fund,科技部重大科技计划（2018YFC2002303）,Fully-automated,Non-hospital,No,Treatment,Diseases of the musculoskeletal system or connective tissue,Cervical spondylosis,Parallel Assignment,探讨远程康复对颈椎病的疗效。  ,2020,17.23333333,2,48,四川省八一康复中心（四川省康复医院） ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,60,70,All,simple randomization,Random table produced by computer,NP,未说明
112,ChiCTR2000038461,Comprehensive rehabilitation system for common bone and joint diseases in the elderly —— evaluation of curative effect of chiropractic combined with hydrotherapy and chiropractic combined with remote rehabilitation,Interventional,Early Phase 1,national government/fund,科技部重大科技计划（2018YFC2002303）,Adjunctive,Non-hospital,No,Treatment,Diseases of the musculoskeletal system or connective tissue,Cervical spondylosis,Parallel Assignment,探讨整脊联合水疗与整脊联合远程康复对颈椎病的疗效对比。  ,2020,24.3,2,48,四川省八一康复中心（四川省康复医院） ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,60,70,All,block randomization,"By statistical professionals who do not participate in the trial using ResMan online, random sequences are generated according to the central stratified block random method.",single(outcomes assessor),对结局评价人员、数据管理和统计分析人员设置盲法。
113,ChiCTR2000036677,A double-blinded randomized multicentre study to investigate the effect and safe of remote programming and variable frenquency stimulation on sacral neuromodulation for overactive bladder,Interventional,Early Phase 1,national government/fund,国家重点研发计划（项目编号：2018YFC2002200）,Adjunctive,Non-hospital,No,Management,Diseases of the genitourinary system,Refractory overactive bladder,Parallel Assignment,评价骶神经刺激治疗难治性膀胱过度活动症术后远程及变频的有效性和安全性。  ,2020,28.33333333,4,148,北京医院 ,北京市,北京大学第一医院 ,北京 ,北京大学第三医院 ,北京 ,北京大学人民医院 ,北京 ,复旦大学附属华东医院 ,上海 ,华中科技大学同济医学院附属协和医院 ,湖北 ,南京医科大学第二附属医院 ,江苏 ,山东大学齐鲁医院 ,山东 ,山东省立医院 ,山东 ,首都医科大学附属朝阳医院 ,北京 ,Not yet recruiting,,,All,randomized-NP,Central randomization system,NP,未说明
114,ChiCTR2000036232,Hand tele-rehabilitation sysytem based on data-driven,Interventional,Early Phase 1,hospital/university,上海申康医院发展中心,Fully-automated,Non-hospital,No,Treatment,Diseases of the skin,Scar Contracture Malformation after Hand Burns,Parallel Assignment,本研究创新性地将康复机器人与远程康复结合并应用于手部烧伤瘢痕挛缩畸形患者，通过临床研究初步验证其安全性和有效性，从而为其应用于临床提供理论依。  ,2020,24.3,2,164,上海交通大学医学院附属第九人民医院 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,60,All,block randomization,"This study is a prospective, randomized, controlled trial，with test group and control group ；a block randomization method is proposed",NP,未说明
115,ChiCTR2000036050,A study of next-generation CBT remote therapy for obsessive-compulsive disorder based on individualized assessment,Interventional,Early Phase 1,hospital/university,拟申请促进市级医院临床技能与临床创新三年行动计划（2020-2022年）重大临床研究项目,Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Obsessive-Compulsive Disorder,Parallel Assignment,（1）基于暴露反应预防（ERP）和正念等心理治疗技术，针对强迫症患者开发基于个体化评估的新一代认知行为技术的远程治疗。 （2）明确基于个体化评估的新一代认知行为（CBT）技术远程治疗强迫症是否有效、可行、安全和具有较好的成本效果和治疗效用。,2020,36.46666667,3,144,上海交通大学医学院附属精神卫生中心 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,54,All,simple randomization,Research coordinator generate random number sequences by computer software program.,NP,未说明
116,ChiCTR2000035482,Clinical application of systematic management based on remote patient monitoring in home automated peritoneal dialysis therapy,Interventional,NP,self-fund,自筹,Guided,Non-hospital,No,Management,Diseases of the genitourinary system,Uremia,Parallel Assignment,比较利用基于远程患者监控云数据平台的系统管理模式下的APD病人与传统模式下的MPD病人在腹透相关并发症早期发现、腹透技术存活率、病人生活质量改善、医疗费用支出等卫生经济学方面的差别。  ,2020,36.46666667,2,90,复旦大学附属华山医院北院 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,,,All,block randomization,randomized block design,NP,未说明
117,ChiCTR2000035254,Establishment of spinal cord injury rehabilitation platform and remote rehabilitation guidance system,Interventional,Early Phase 1,municipal government/fund,北京市卫生和健康委员会,Guided,Non-hospital,No,Management,"Injury, poisoning or certain other consequences of external causes",spinal cord injury,Parallel Assignment,1）构建康复协同服务平台，发展“互联网 +”模式下的新型康复； 2）结合 VR 技术，建立康复 APP 平台及新型康复器械； 3）探讨远程家庭康复指导在脊髓损伤康复训练的应用。,2018,35.5,2,200,中国康复研究中心 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,,,All,randomized-NP,"SCI patients who underwent spinal nerve decompression with internal fixation at Beijing Bo’ai Hospital from January 2018 to October 2018, after signing the informed consent form with the patient’s informed consent, Liu Jun applied random sampling method to randomize the control group.",NP,未说明
118,ChiCTR2000035110,The influence of remote management based on CAPD+ on controlling fluid overload in CAPD patients,Interventional,Early Phase 1,industry,百特医疗公司,Guided,Non-hospital,No,Management,Factors influencing health status or contact with health services,Continuous ambulatory peritoneal dialysis,Parallel Assignment,探索利用CAPD+远程管理方式，是否更有利于容量负荷的管理，改善生活质量，减少入院率及心血管事件。  ,2020,36.46666667,2,257,宁夏医科大学总医院 ,宁夏回族自治区,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,,,All,Non-Randomized,non-random,NP,N/A
119,ChiCTR2000034465,Development and evaluation of a remote creative expressive program for patient with mild cognitive impairment,Interventional,Early Phase 1,national government/fund,国家自然科学基金（82071222）,Guided,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",mild cognitive impairment,Parallel Assignment,构建轻度认知障碍患者远程创新表达认知干预方案；评价远程创新表达认知干预方案对轻度认知障碍患者认知功能、情绪状态的干预效果；探索远程创新表达认知干预的中枢作用机制。  ,2020,15.2,2,70,福建省立医院 ,福建省,福建省立医院南院 ,福建 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,60,85,All,simple randomization,"Before randomisation, a researcher not involved in subject recruitment and data collection will prepare a randomisation list with 37 sets of numbers, where 1, 2, and 3 represent the CrEAS, active control, and waitlist control groups, respectively, using Research Randomizer software (http://www.randomizer.org/).","double(investigator, outcomes assessor)",本研究属于非药物干预试验，无法对干预者和参与者设盲，因此本研究仅对数据收集者和统计人员设盲。
120,ChiCTR2000033095,The study on telemedicine management model for elderly patients with chronic diseases at home in Beijing,Interventional,NP,municipal government/fund,北京市科学技术委员会-老龄科技服务创新能力提升项目,Guided,Non-hospital,No,Management,Diseases of the circulatory system,Hypertension,Single Group Assignment,1.1 构建以药师为主导的居家老年慢病患者远程药物治疗管理模式； 1.2 构建与医疗级可穿戴设备对接的居家老年慢病患者药物治疗管理平台； 1.3 制定居家老年慢病患者药物治疗管理服务团体标准，在区域内进行推广； 1.4 提高基层医疗机构药学服务能力，促进互联网技术在医疗行业的应用。,2019,24.33333333,1,300,北京积水潭医院 ,北京市,北京市昌平区回龙观社区卫生服务中心 ,北京 ,北京市延庆区永宁镇社区卫生服务中心 ,北京 ,北京泰康之家·燕园养老社区 ,北京 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,60,85,All,randomized-NP,"The study is a non-randomized controlled study, using a self-controlled study method",NP,N/A
121,ChiCTR2000031834,A clinical study for the effect of remote monitoring exercise rehabilitation on the discharged patients with novel coronavirus pneumonia (COVID-19),Interventional,NP,industry,江苏长风药业有限公司,Fully-automated,Non-hospital,No,Management,Certain infectious or parasitic diseases,Novel Coronavirus Pneumonia (COVID-19),Parallel Assignment,观察远程监控下运动康复对新型冠状病毒肺炎出院患者呼吸困难程度、心肺耐力、体能水平、生活质量等各方面的影响。  ,2020,6.1,2,160,江苏省人民医院 ,江苏省,湖北省中西医结合医院 ,湖北 ,黄石市中医医院 ,湖北 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,75,All,simple randomization,"Meng hongdao, a data statistician, used the software to prepare a random number table, which was used to divide subjects into trial group or control group by the way of drawing random envelopes.",Open label,Open label
122,ChiCTR2000030150,"The Efficacy and Safety of Utilizing Mobile Phone and Motion Detector For Telerehabilitation After Arthroscopic Surgery of Rotator Cuff Tear: Single-center, Prospective Randomized Controlled Trial",Interventional,Early Phase 1,hospital/university,中山大学孙逸仙纪念医院,Fully-automated,Non-hospital,No,Management,"Injury, poisoning or certain other consequences of external causes",rotator cuff tear,Parallel Assignment,(1) 本实验拟开发针对肩袖损伤患者的智能手机远程康复锻炼系统，以实现医生对患者康复锻炼的远程指导，摆脱传统门诊康复锻炼的地理和交通限制； (2) 通过严密设计的随机对照研究，验证智能手机在肩袖损伤患者术后康复锻炼中的有效性，以期为远程医疗的推广和智能手机在医疗中的应用提供基础。,2020,36.46666667,2,2000,中山大学孙逸仙纪念医院 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,16,64,All,simple randomization,computer generated,Open label,开放
123,ChiCTR1900027989,A practical study for the effect of exercise qigong on postoperative rehabilitation of breast cancer patients,Interventional,NP,self-fund,Project funding,Fully-automated,Non-hospital,No,Management,Neoplasms,Breast cancer,Parallel Assignment,探究健身气功远程干预对乳腺癌术者术后康复的影响  ,2020,3.066666667,2,200,千佛山医院 ,山东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,,,Female,simple randomization,"After the informed consent, the subjects were assigned to the qigong group or the regular exercise rehabilitation group using a random number table.",Open label,Open label
124,ChiCTR1900027828,Frequent patient retraining by telemedicine reduces peritonitis in peritoneal dialysis: a randomised controlled trial,Interventional,Early Phase 1,hospital/university,医院科研经费,Adjunctive,Non-hospital,No,Prevention,Factors influencing health status or contact with health services,peritoneal dialysis,Parallel Assignment,本研究的目的包括 1.降低本中心患者腹膜炎的发生率。 2.探索患者再培训的方法和培训频率。 3.探索通过远程医疗进行培训和家访的模式。,2019,42.56666667,2,80,四川省医学科学院 四川省人民医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,80,All,block randomization,Central randomization and the computer generates a random code.,NP,未说明
125,ChiCTR1900027604,Effect of distance training on cognitive function and resting state brain magnetic resonance in cerebral small vessel disease,Observational,Early Phase 1,self-fund,自筹,Fully-automated,Hospital,No,Treatment,Diseases of the circulatory system,Cerebral small vessel disease,Parallel Assignment,本研究从轻度认知障碍治疗的角度出发，探讨BrainHQ和/或Fit Brains Trainer训练对海马、内嗅皮层体积、海马、内嗅皮层功能连接、临床疗效各指标的相关性，进一步评价BrainHQ 和/或Fit Brains Trainer训练对轻度认知障碍的治疗作用和脑功能可塑性的影响。  ,2019,36.53333333,2,100,苏州科技城医院 ,江苏省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,,,All,NP,N/A,NP,N/A
126,ChiCTR1900027246,Effect of remote cognitive training on cognitive function and resting state brain magnetic resonance in mild cognitive impairment,Interventional,Early Phase 1,self-fund,自筹,Fully-automated,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Mild cognitive impairment,Parallel Assignment,研究目的：本研究从轻度认知障碍治疗的角度出发，探讨BrainHQ和/或Fit Brains Trainer训练对海马、内嗅皮层体积、海马、内嗅皮层功能连接、临床疗效各指标的相关性，进一步评价BrainHQ 和/或Fit Brains Trainer训练对轻度认知障碍的治疗作用和脑功能可塑性的影响。  ,2020,36.5,3,100,苏州科技城医院 ,江苏省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,60,,All,simple randomization,"Through the SPSS statistical software programming to generate random numbers, the software is now numbered 1 to 100, and then set the fixed value in the random data generator, and then calculate the variables, the use of functions to generate random numbers, ranking the case and re-encoded as different",NP,未说明
127,ChiCTR1900027178,Research for Clinical Application of Remote Rehabilitation Training and Evaluation System,Interventional,Early Phase 1,self-fund,苏州市科学技术局拨款 20.00 万元,Guided,Non-hospital,No,Management,Diseases of the nervous system,Stroke,Parallel Assignment,1.验证远程康复训练与评估系统对脑卒中引起的肢体运动功能障碍康复评估的有效性及安全性。 2.验证远程康复训练与评估系统评估与人工Fugl-meyer量表、Brunnstrom量表评估的一致性。 3.验证远程康复训练与评估系统在“社区－家庭”康复中的有效性。,2017,31.46666667,2,1000,黄桥社区卫生服务中心 ,江苏省,元和社区卫生服务中心 ,江苏 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,,,All,simple randomization,The third-party statisticians use SPSS statistical software to generate random schemes by random number table method.,NP,未说明
